trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.008, 'e': 0.2964134525853191}",20,0,26.881009263752347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.008, 'e': 0.29405160495167837}",20,12,1.2477510301492678,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.008, 'e': 0.2917085767211244}",25,10,11.298036366508033,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.008, 'e': 0.2893842179390506}",25,3,-23.063216745247622,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.008, 'e': 0.28707837984570167}",35,0,22.32347047638941,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.008, 'e': 0.2847909148666525}",35,24,21.344547882276242,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.008, 'e': 0.2825216766033636}",30,8,3.6957623976589886,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
160,False,"{'a': 0.008, 'e': 0.28027051982381157}",30,19,3.3285617546124766,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.008, 'e': 0.27803730045319414}",35,3,8.279778985958526,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.008, 'e': 0.27582187556470933}",20,7,5.759951725963319,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.008, 'e': 0.27362410337040804}",25,5,32.05642650995492,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.008, 'e': 0.27144384321211973}",20,11,13.036517809888712,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.008, 'e': 0.26928095555244996}",30,18,-20.910075264613155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.008, 'e': 0.26713530196585034}",25,9,-28.598096540461196,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
167,False,"{'a': 0.008, 'e': 0.2650067451297589}",30,0,19.99059941740865,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.008, 'e': 0.26289514881581166}",20,0,4.10287172637155,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.008, 'e': 0.26080037788112365}",20,3,-29.73281097355864,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.008, 'e': 0.25872229825964005}",30,19,-0.4610272395692865,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.008, 'e': 0.2566607769535559}",25,6,-43.54542253199625,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
172,False,"{'a': 0.008, 'e': 0.2546156820248037}",30,0,-5.806623958202845,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.008, 'e': 0.2525868825866102}",30,6,18.429282653697737,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.008, 'e': 0.25057424879511875}",30,15,-31.63895759818394,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.008, 'e': 0.24857765184107966}",30,21,15.889233240715813,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.008, 'e': 0.24659696394160643}",20,8,19.749365231455577,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.008, 'e': 0.2446320583319975}",20,0,11.682376713786633,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.008, 'e': 0.24268280925762298}",25,0,-4.655810027714282,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.008, 'e': 0.24074909196587688}",30,16,19.704797797543556,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.008, 'e': 0.23883078269819244}",25,0,26.840148508778967,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.008, 'e': 0.23692775868212176}",30,23,13.415543838505034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.008, 'e': 0.23503989812347828}",20,8,22.139330054914566,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
